Teller,TijdISO,SecondenSindsMiddernacht,Pin
90658,2019-12-31T10:53:32.722302,39212.722302,17
90659,2019-12-31T10:53:33.099766,39213.099766,17
90660,2019-12-31T10:53:36.790529,39216.790529,17
90661,2019-12-31T10:53:37.199970,39217.19997,17
90662,2019-12-31T10:53:40.876224,39220.876224,17
90663,2019-12-31T10:53:41.300499,39221.300499,17
90664,2019-12-31T10:53:44.980707,39224.980707,17
90665,2019-12-31T10:53:45.384278,39225.384278,17
90666,2019-12-31T10:53:50.683320,39230.68332,17
90667,2019-12-31T10:53:51.732243,39231.732243,17
90668,2019-12-31T10:54:54.110722,39294.110722,17
90669,2019-12-31T10:54:54.790268,39294.790268,17
90670,2019-12-31T10:54:59.067699,39299.067699,17
90671,2019-12-31T10:54:59.731812,39299.731812,17
90672,2019-12-31T10:55:03.999670,39303.99967,17
90673,2019-12-31T10:55:04.637880,39304.63788,17
90674,2019-12-31T10:55:08.908748,39308.908748,17
90675,2019-12-31T10:55:09.741667,39309.741667,17
90676,2019-12-31T10:55:13.969922,39313.969922,17
90677,2019-12-31T10:55:14.345170,39314.34517,17
90678,2019-12-31T10:55:17.914757,39317.914757,17
90679,2019-12-31T10:55:18.295773,39318.295773,17
90680,2019-12-31T10:55:21.922703,39321.922703,17
90681,2019-12-31T10:55:22.280511,39322.280511,17
90682,2019-12-31T10:55:25.869508,39325.869508,17
90683,2019-12-31T10:55:26.267465,39326.267465,17
90684,2019-12-31T10:55:29.910255,39329.910255,17
90685,2019-12-31T10:55:30.295152,39330.295152,17
90686,2019-12-31T10:55:33.912490,39333.91249,17
90687,2019-12-31T10:55:34.275474,39334.275474,17
90688,2019-12-31T10:55:37.922315,39337.922315,17
90689,2019-12-31T10:55:38.325702,39338.325702,17
90690,2019-12-31T10:55:41.925433,39341.925433,17
90691,2019-12-31T10:55:42.335238,39342.335238,17
90692,2019-12-31T10:55:45.957404,39345.957404,17
90693,2019-12-31T10:55:46.315639,39346.315639,17
90694,2019-12-31T10:55:49.917367,39349.917367,17
90695,2019-12-31T10:55:50.299400,39350.2994,17
90696,2019-12-31T10:55:53.913328,39353.913328,17
90697,2019-12-31T10:55:54.309346,39354.309346,17
90698,2019-12-31T10:55:57.891288,39357.891288,17
